State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201801,Mental health disorder,Emergency department,"5,925",4.8,
Alabama,2018,201801,Substance use disorder,Emergency department,"9,030",7.3,
Alabama,2018,201801,Mental health disorder,Inpatient,"3,618",2.9,
Alabama,2018,201801,Substance use disorder,Inpatient,"3,894",3.2,
Alabama,2018,201801,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,490",7.7,
Alabama,2018,201801,Substance use disorder,Intensive outpatient/Partial hospitalization,"7,953",6.5,
Alabama,2018,201801,Mental health disorder,Outpatient,"121,365",98.6,
Alabama,2018,201801,Substance use disorder,Outpatient,"2,795",2.3,
Alabama,2018,201801,Mental health disorder,Telehealth,485,0.4,
Alabama,2018,201801,Substance use disorder,Telehealth,"1,998",1.6,
Alabama,2018,201802,Mental health disorder,Emergency department,"5,932",4.8,
Alabama,2018,201802,Substance use disorder,Emergency department,"8,025",6.5,
Alabama,2018,201802,Mental health disorder,Inpatient,"3,183",2.6,
Alabama,2018,201802,Substance use disorder,Inpatient,"3,529",2.9,
Alabama,2018,201802,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,017",8.9,
Alabama,2018,201802,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,321",6.8,
Alabama,2018,201802,Mental health disorder,Outpatient,"120,248",97.7,
Alabama,2018,201802,Substance use disorder,Outpatient,"2,908",2.4,
Alabama,2018,201802,Mental health disorder,Telehealth,298,0.2,
Alabama,2018,201802,Substance use disorder,Telehealth,"1,035",0.8,
Alabama,2018,201803,Mental health disorder,Emergency department,"6,094",4.9,
Alabama,2018,201803,Substance use disorder,Emergency department,"8,788",7.1,
Alabama,2018,201803,Mental health disorder,Inpatient,"3,435",2.8,
Alabama,2018,201803,Substance use disorder,Inpatient,"3,812",3.1,
Alabama,2018,201803,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,144",9.8,
Alabama,2018,201803,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,088",8.2,
Alabama,2018,201803,Mental health disorder,Outpatient,"130,983",106,
Alabama,2018,201803,Substance use disorder,Outpatient,"3,475",2.8,
Alabama,2018,201803,Mental health disorder,Telehealth,68,0.1,
Alabama,2018,201803,Substance use disorder,Telehealth,68,0.1,
Alabama,2018,201804,Mental health disorder,Emergency department,"6,416",5.2,
Alabama,2018,201804,Substance use disorder,Emergency department,"8,747",7,
Alabama,2018,201804,Mental health disorder,Inpatient,"3,328",2.7,
Alabama,2018,201804,Substance use disorder,Inpatient,"3,649",2.9,
Alabama,2018,201804,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,966",10.4,
Alabama,2018,201804,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,123",8.1,
Alabama,2018,201804,Mental health disorder,Outpatient,"129,951",104.5,
Alabama,2018,201804,Substance use disorder,Outpatient,"3,614",2.9,
Alabama,2018,201804,Mental health disorder,Telehealth,34,0,
Alabama,2018,201804,Substance use disorder,Telehealth,63,0.1,
Alabama,2018,201805,Mental health disorder,Emergency department,"6,426",5.2,
Alabama,2018,201805,Substance use disorder,Emergency department,"9,292",7.5,
Alabama,2018,201805,Mental health disorder,Inpatient,"3,540",2.8,
Alabama,2018,201805,Substance use disorder,Inpatient,"3,987",3.2,
Alabama,2018,201805,Mental health disorder,Intensive outpatient/Partial hospitalization,"13,032",10.4,
Alabama,2018,201805,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,686",8.6,
Alabama,2018,201805,Mental health disorder,Outpatient,"127,287",102.1,
Alabama,2018,201805,Substance use disorder,Outpatient,"3,677",2.9,
Alabama,2018,201805,Mental health disorder,Telehealth,33,0,
Alabama,2018,201805,Substance use disorder,Telehealth,63,0.1,
Alabama,2018,201806,Mental health disorder,Emergency department,"5,882",4.7,
Alabama,2018,201806,Substance use disorder,Emergency department,"8,871",7.1,
Alabama,2018,201806,Mental health disorder,Inpatient,"3,314",2.7,
Alabama,2018,201806,Substance use disorder,Inpatient,"3,777",3,
Alabama,2018,201806,Mental health disorder,Intensive outpatient/Partial hospitalization,"17,317",13.9,
Alabama,2018,201806,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,057",8.1,
Alabama,2018,201806,Mental health disorder,Outpatient,"113,475",91.2,
Alabama,2018,201806,Substance use disorder,Outpatient,"3,432",2.8,
Alabama,2018,201806,Mental health disorder,Telehealth,66,0.1,
Alabama,2018,201806,Substance use disorder,Telehealth,69,0.1,
Alabama,2018,201807,Mental health disorder,Emergency department,"6,123",4.9,
Alabama,2018,201807,Substance use disorder,Emergency department,"9,269",7.4,
Alabama,2018,201807,Mental health disorder,Inpatient,"3,535",2.8,
Alabama,2018,201807,Substance use disorder,Inpatient,"4,011",3.2,
Alabama,2018,201807,Mental health disorder,Intensive outpatient/Partial hospitalization,"15,283",12.1,
Alabama,2018,201807,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,249",8.1,
Alabama,2018,201807,Mental health disorder,Outpatient,"115,749",91.8,
Alabama,2018,201807,Substance use disorder,Outpatient,"3,447",2.7,
Alabama,2018,201807,Mental health disorder,Telehealth,42,0,
Alabama,2018,201807,Substance use disorder,Telehealth,57,0,
Alabama,2018,201808,Mental health disorder,Emergency department,"6,604",5.1,
Alabama,2018,201808,Substance use disorder,Emergency department,"9,255",7.2,
Alabama,2018,201808,Mental health disorder,Inpatient,"3,652",2.8,
Alabama,2018,201808,Substance use disorder,Inpatient,"3,965",3.1,
Alabama,2018,201808,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,710",8.3,
Alabama,2018,201808,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,883",8.4,
Alabama,2018,201808,Mental health disorder,Outpatient,"130,686",101.2,
Alabama,2018,201808,Substance use disorder,Outpatient,"3,373",2.6,
Alabama,2018,201808,Mental health disorder,Telehealth,53,0,
Alabama,2018,201808,Substance use disorder,Telehealth,75,0.1,
Alabama,2018,201809,Mental health disorder,Emergency department,"6,881",5.4,
Alabama,2018,201809,Substance use disorder,Emergency department,"9,168",7.1,
Alabama,2018,201809,Mental health disorder,Inpatient,"3,491",2.7,
Alabama,2018,201809,Substance use disorder,Inpatient,"3,859",3,
Alabama,2018,201809,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,175",7.9,
Alabama,2018,201809,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,420",7.3,
Alabama,2018,201809,Mental health disorder,Outpatient,"122,261",95.1,
Alabama,2018,201809,Substance use disorder,Outpatient,"2,650",2.1,
Alabama,2018,201809,Mental health disorder,Telehealth,40,0,
Alabama,2018,201809,Substance use disorder,Telehealth,62,0,
Alabama,2018,201810,Mental health disorder,Emergency department,"6,362",4.9,
Alabama,2018,201810,Substance use disorder,Emergency department,"8,878",6.8,
Alabama,2018,201810,Mental health disorder,Inpatient,"3,554",2.7,
Alabama,2018,201810,Substance use disorder,Inpatient,"3,915",3,
Alabama,2018,201810,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,268",9.4,
Alabama,2018,201810,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,941",7.6,
Alabama,2018,201810,Mental health disorder,Outpatient,"139,515",106.6,
Alabama,2018,201810,Substance use disorder,Outpatient,"3,097",2.4,
Alabama,2018,201810,Mental health disorder,Telehealth,42,0,
Alabama,2018,201810,Substance use disorder,Telehealth,57,0,
Alabama,2018,201811,Mental health disorder,Emergency department,"5,971",4.6,
Alabama,2018,201811,Substance use disorder,Emergency department,"8,279",6.4,
Alabama,2018,201811,Mental health disorder,Inpatient,"3,266",2.5,
Alabama,2018,201811,Substance use disorder,Inpatient,"3,583",2.8,
Alabama,2018,201811,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,997",7.7,
Alabama,2018,201811,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,817",6.8,
Alabama,2018,201811,Mental health disorder,Outpatient,"126,038",97,
Alabama,2018,201811,Substance use disorder,Outpatient,"2,582",2,
Alabama,2018,201811,Mental health disorder,Telehealth,42,0,
Alabama,2018,201811,Substance use disorder,Telehealth,71,0.1,
Alabama,2018,201812,Mental health disorder,Emergency department,"6,035",4.7,
Alabama,2018,201812,Substance use disorder,Emergency department,"8,876",6.9,
Alabama,2018,201812,Mental health disorder,Inpatient,"3,182",2.5,
Alabama,2018,201812,Substance use disorder,Inpatient,"3,576",2.8,
Alabama,2018,201812,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,029",7,
Alabama,2018,201812,Substance use disorder,Intensive outpatient/Partial hospitalization,"7,864",6.1,
Alabama,2018,201812,Mental health disorder,Outpatient,"114,689",89.1,
